"dt","brand","models","source","average_daily_price"
"2023-10-07","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-20","Globe","Sabre ","CCS.com",159.95
"2023-10-07","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-06","Converse","Chuck Taylor All Star Pro ","Tactics.com",74.95
"2023-10-15","eS","Penny 2 ","CCS.com",99.95
"2023-10-08","Lakai","EVO 2.0 Shoes","Tactics.com",89.95
"2023-10-22","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-17","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-13","eS","The Muska ","Tactics.com",149.95
"2023-10-14","Footprint","Liberty ","Tactics.com",0.0
"2023-10-12","Converse","AS","CCS.com",79.95
"2023-10-22","Rainbow Sandals","Classic Rubber Single Layer Eco Sandals","Tactics.com",0.0
"2023-10-26","Globe","Gillette ","CCS.com",84.0
"2023-10-03","Vans","Skate Style 53 ","CCS.com",74.95
"2023-10-21","Nike SB","Leo ","Tactics.com",94.95
"2023-10-19","Lakai","Trudger ","Tactics.com",89.95
"2023-10-21","Converse","AS","CCS.com",79.95
"2023-10-12","Adidas","Busenitz ","CCS.com",84.95
"2023-10-08","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-09-30","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-10-14","Globe","Gillette Mid ","CCS.com",129.95
"2023-09-30","Emerica","Gamma G6 ","CCS.com",94.95
"2023-10-16","Last Resort","CM001 - Low Top ","Tactics.com",94.95
"2023-10-11","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-19","Footprint","Liberty ","Tactics.com",0.0
"2023-10-18","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-11","Saucony","Shadow 6000 ","CCS.com",111.98
"2023-10-27","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-20","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-06","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-21","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-14","Rainbow Sandals","The Bentley Sandals","Tactics.com",0.0
"2023-10-25","Opus","Standard Mid ","CCS.com",74.95
"2023-10-17","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-05","Nike SB","BRSB Eco ","Tactics.com",84.95
"2023-10-24","DC","Metric S x Will ","CCS.com",109.95
"2023-10-23","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-12","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-27","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-13","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-27","Lakai","Terrace ","Tactics.com",86.95
"2023-10-03","Lakai","Terrace ","Tactics.com",86.95
"2023-10-13","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-05","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-20","Opus","Standard Low ","CCS.com",64.95
"2023-10-19","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-10","Footprint","Liberty ","Tactics.com",0.0
"2023-10-12","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-20","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-12","Emerica","OG","CCS.com",94.95
"2023-10-12","Vans","Ultrarange EXO Hi GORE-TEX BOA MTE-3 Boots","Tactics.com",229.95
"2023-10-09","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-08","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-13","Etnies","Windrow ","Tactics.com",79.95
"2023-10-10","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-24","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-18","New Balance","Numeric 306 Jamie Foy ","Tactics.com",91.62
"2023-10-06","Footprint","Liberty ","Tactics.com",0.0
"2023-10-22","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-18","Emerica","Wino G6 Slip-On Shoes","Tactics.com",74.95
"2023-10-16","Lakai","EVO 2.0 Shoes","Tactics.com",89.95
"2023-10-11","New","Balance 997H ","CCS.com",89.95
"2023-10-08","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-16","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-03","Adidas","Busenitz ","CCS.com",84.95
"2023-10-24","Adidas","Nora ","Tactics.com",79.95
"2023-10-10","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-04","DAKINE","Kiawe Sandals","Tactics.com",0.0
"2023-10-20","Lakai","Essex ","Tactics.com",74.95
"2023-10-02","Etnies","Joslin Vulc ","CCS.com",94.95
"2023-10-21","Globe","Gillette ","CCS.com",84.0
"2023-10-18","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-15","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-26","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-13","eS","Penny 2 ","Tactics.com",0.0
"2023-10-01","DC","Manual Hi ","Tactics.com",0.0
"2023-10-27","Lakai","x Pacifico Owen Vlk ","CCS.com",64.95
"2023-10-19","Globe","Gillette Mid ","CCS.com",129.95
"2023-10-11","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-14","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-28","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-21","Opus","Court Low ","CCS.com",59.95
"2023-10-04","Emerica","Dickson G6 ","Tactics.com",79.95
"2023-10-13","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-11","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-12","Globe","Sabre ","CCS.com",159.95
"2023-10-28","Globe","Mahalo Plus ","CCS.com",89.95
"2023-10-09","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-06","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-24","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-08","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-15","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-15","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-22","Last Resort","VM003 - Canvas High Top ","Tactics.com",89.95
"2023-10-11","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-03","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-24","Reebok","Pump Tz ","CCS.com",159.95
"2023-10-17","Vans","Skate Half Cab ","CCS.com",84.95
"2023-10-25","C1rca","Buckler SK ","CCS.com",69.95
"2023-10-20","Vans","Rowan 2 Pro ","Tactics.com",109.95
"2023-10-03","Globe","Dover II Vibram ","CCS.com",199.95
"2023-10-19","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-01","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-24","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-03","Last Resort","VM001 - Suede Low Top ","Tactics.com",94.95
"2023-10-02","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-15","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-25","Footprint","Liberty ","Tactics.com",0.0
"2023-10-11","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-26","Opus","Court Low ","CCS.com",59.95
"2023-10-26","Opus","Standard Low ","CCS.com",64.95
"2023-10-18","Nike SB","Leo ","Tactics.com",94.95
"2023-10-21","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-17","Adidas","Nora ","Tactics.com",79.95
"2023-10-12","Emerica","KSL G6 ","Tactics.com",94.95
"2023-10-01","Vans","Skate Grosso Mid ","CCS.com",84.95
"2023-10-17","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-11","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-04","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-11","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-22","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-07","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-07","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-16","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-28","Adidas","Busenitz ","CCS.com",84.95
"2023-10-05","Nike SB","Leo ","Tactics.com",94.95
"2023-10-12","Adidas","Stan Smith ADV ","Tactics.com",94.95
"2023-10-05","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-09","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-19","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-14","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-10","Lakai","Flaco II ","Tactics.com",79.95
